day,dt,temp,site_z,site_h
0.10000000000000142,3.41,-4.5,,
1.0,20.59,-4.5,,
2.0,24.0,-8.5,,
3.0,24.0,-9.3,,
4.0,24.0,-7.5,,
5.0,24.0,-9.5,,
6.0,24.0,-8.5,0.0,
6.600000000000001,13.55,-11.8,,
7.0,10.45,-11.8,,
8.0,24.0,-16.0,,
9.0,24.0,-4.8,,
10.0,24.0,-9.5,,
11.0,24.0,-11.0,,
12.0,24.0,-6.3,0.641,
12.100000000000001,1.65,-9.0,,
13.0,22.35,-9.0,,
14.0,24.0,-5.8,,
14.100000000000001,3.04,-8.0,,
15.0,20.96,-8.0,,
16.0,24.0,-19.5,,
17.0,24.0,-17.0,,
18.0,24.0,-12.8,,
19.0,24.0,-16.5,,
20.0,24.0,-18.3,0.69,
21.0,24.0,-17.5,,
22.0,24.0,-18.8,,
23.0,24.0,-9.5,,
24.0,24.0,-7.3,,
25.0,24.0,-10.0,,
26.0,24.0,-12.5,,
27.0,24.0,-16.8,0.69,
28.0,24.0,-11.0,,
29.0,24.0,-6.0,,
30.0,24.0,-1.0,,
31.0,24.0,-2.5,,
32.0,24.0,-7.0,,
33.0,24.0,-7.8,,
34.0,24.0,-8.3,,
35.0,24.0,-7.0,,
35.8,20.33,-6.0,,
36.0,3.67,-6.0,0.658,
37.0,24.0,-10.5,,
38.0,24.0,-12.3,,
39.0,24.0,-9.3,,
40.0,24.0,-19.0,,
41.0,24.0,-22.0,,
42.0,24.0,-25.0,,
43.0,24.0,-26.3,,
44.0,24.0,-25.3,,
45.0,24.0,-23.5,,
46.0,24.0,-23.3,,
47.0,24.0,-23.0,,
48.0,24.0,-17.8,0.812,
49.0,24.0,-11.5,,
50.0,24.0,-16.8,,
51.0,24.0,-13.3,,
52.0,24.0,-8.3,,
53.0,24.0,-10.5,,
54.0,24.0,-21.5,,
55.0,24.0,-11.5,0.792,
56.0,24.0,-5.0,,
57.0,24.0,6.3,,
58.0,24.0,10.0,,
59.0,24.0,-12.5,,
60.0,24.0,-12.0,,
61.0,24.0,-5.0,,
62.0,24.0,-1.0,0.772,
63.0,24.0,1.5,,
64.0,24.0,-16.5,,
65.0,24.0,-8.5,,
66.0,24.0,-0.5,,
67.0,24.0,-13.5,,
68.0,24.0,-13.5,,
69.0,24.0,-8.5,0.743,
70.0,24.0,-16.5,,
71.0,24.0,-22.5,,
72.0,24.0,-18.0,,
73.0,24.0,-23.5,,
74.0,24.0,-24.8,,
75.0,24.0,-19.8,,
76.0,24.0,-16.5,0.851,
77.0,24.0,-11.8,,
78.0,24.0,-1.8,,
79.0,24.0,-1.3,,
80.0,24.0,-9.0,,
81.0,24.0,-9.3,,
82.0,24.0,-20.5,,
83.0,24.0,-22.0,0.844,
84.0,24.0,-15.5,,
85.0,24.0,-15.5,,
86.0,24.0,-13.5,,
87.0,24.0,-10.0,,
88.0,24.0,-17.0,,
89.0,24.0,-13.3,,
90.0,24.0,-3.5,0.849,
91.0,24.0,5.3,,
92.0,24.0,3.3,,
93.0,24.0,1.3,,
94.0,24.0,2.5,,
95.0,24.0,-2.3,,
96.0,24.0,-4.5,,
97.0,24.0,-8.3,0.824,
98.0,24.0,-4.5,,
99.0,24.0,-15.0,,
100.0,24.0,-11.5,,
101.0,24.0,-9.3,,
102.0,24.0,-6.5,,
103.0,24.0,-14.0,,
104.0,24.0,-12.0,0.705,
105.0,24.0,-14.3,,
106.0,24.0,-13.5,,
107.0,24.0,-13.3,,
108.0,24.0,-14.8,,
109.0,24.0,-11.0,,
110.0,24.0,-4.5,,
111.0,24.0,-2.5,0.776,
112.0,24.0,0.8,,
113.0,24.0,4.0,,
114.0,24.0,-4.0,,
115.0,24.0,-6.5,,
116.0,24.0,-5.0,,
117.0,24.0,-1.5,,
118.0,24.0,0.8,0.0,
119.0,24.0,-0.8,,
120.0,24.0,0.3,,
121.0,24.0,1.5,,
122.0,24.0,-4.3,,
123.0,24.0,-5.5,,
124.0,24.0,3.8,,
125.0,24.0,0.3,,
126.0,24.0,-11.5,,
127.0,24.0,-8.5,,
128.0,24.0,-5.8,,
129.0,24.0,-4.3,,
130.0,24.0,-3.0,,
131.0,24.0,2.0,,
132.0,24.0,-1.5,,
133.0,24.0,-5.0,,
134.0,24.0,-5.0,,
135.0,24.0,-3.3,,
136.0,24.0,-2.7,,
137.0,24.0,-2.5,,
138.0,24.0,-2.3,,
139.0,24.0,-2.1,,
140.0,24.0,-1.8,,
141.0,24.0,-1.6,,
142.0,24.0,-1.4,,
