day,chau_z,chau_h
0,0,0
0.3,0.09,0
1,0.092,0
2,0.13,0
3,0.205,0
4,0.146,0
4.3,0.09,0
4.4,0,0
5,0,0
6,0,0
6.1,0.09,0
7,0.206,0
8,0.214,0
9,0.129,0
9.6,0.09,0
9.8,0,0
10,0,0
10.1,0.09,0
11,0.145,0
12,0.107,0
13,0.232,0
14,0.169,0
15,0.132,0
15.7,0.09,0
15.9,0,0
16,0,0
17,0,0
17.2,0.09,0
18,0.117,0
19,0.104,0
19.1,0.09,0
19.2,0,0
20,0,0
20.1,0.09,0
21,0.134,0
21.6,0.09,0
21.7,0,0
22,0,0
22.1,0.09,0
23,0.263,0
24,0.4,0
25,0.517,0
26,0.599,0
27,0.583,0
28,0.512,0
29,0.499,0
30,0.533,0
31,0.583,0
32,0.61,0
33,0.586,0
34,0.563,0
35,0.525,0
36,0.504,0
37,0.482,0
38,0.511,0
39,0.566,0
40,0.55,0
41,0.583,0
42,0.635,0
43,0.674,0
44,0.702,0
45,0.701,0
46,0.728,0
46.9,0.767,0
47,0.769,0
48,0.787,0
49,0.789,0
50,0.797,0
51,0.787,0
52,0.797,0
53,0.847,0.001
54,0.89,0.001
55,0.911,0.001
56,0.945,0.001
57,1.012,0.001
58,1.077,0.001
59,1.138,0.002
60,1.174,0.002
61,1.209,0.002
62,1.226,0.002
63,1.253,0.002
64,1.292,0.002
65,1.318,0.002
66,1.345,0.003
67,1.387,0.003
68,1.424,0.003
69,1.452,0.003
70,1.482,0.003
71,1.508,0.003
72,1.532,0.003
73,1.552,0.003
74,1.565,0.003
75,1.58,0.003
76,1.612,0.004
77,1.65,0.004
78,1.681,0.004
79,1.696,0.004
80,1.733,0.004
81,1.767,0.004
82,1.793,0.004
83,1.81,0.004
84,1.838,0.004
85,1.856,0.004
86,1.882,0.004
87,1.916,0.005
88,1.939,0.005
89,1.945,0.005
90,1.957,0.005
91,1.982,0.005
92,2.012,0.005
93,2.038,0.005
94,2.058,0.005
95,2.074,0.005
96,2.091,0.005
97,2.101,0.005
98,2.116,0.005
99,2.135,0.005
100,2.164,0.005
101,2.188,0.005
102,2.21,0.006
103,2.23,0.006
104,2.247,0.006
105,2.252,0.006
106,2.256,0.006
107,2.27,0.006
108,2.275,0.006
109,2.284,0.006
110,2.289,0.006
111,2.285,0.006
112,2.276,0.006
113,2.267,0.006
114,2.275,0.006
115,2.288,0.006
116,2.295,0.006
117,2.303,0.006
118,2.317,0.006
119,2.331,0.006
120,2.342,0.006
121,2.356,0.006
122,2.368,0.006
123,2.373,0.006
124,2.372,0.006
125,2.368,0.006
126,2.372,0.006
127,2.372,0.006
128,2.367,0.006
129,2.37,0.006
130,2.371,0.006
131,2.375,0.006
132,2.386,0.006
133,2.391,0.006
134,2.389,0.006
135,2.387,0.006
136,2.381,0.006
137,2.384,0.006
138,2.386,0.006
139,2.387,0.006
140,2.384,0.006
141,2.377,0.006
142,2.373,0.006
143,2.367,0.006
144,2.362,0.006
145,2.355,0.006
146,2.349,0.006
147,2.348,0.006
148,2.342,0.006
149,2.335,0.006
150,2.334,0.006
151,2.33,0.006
152,2.329,0.006
153,2.332,0.006
154,2.328,0.006
155,2.324,0.006
156,2.319,0.006
157,2.315,0.006
158,2.312,0.006
159,2.312,0.006
160,2.306,0.006
161,2.295,0.006
162,2.287,0.006
163,2.281,0.006
164,2.272,0.006
165,2.263,0.006
166,2.25,0.006
167,2.238,0.006
168,2.23,0.006
169,2.224,0.006
170,2.214,0.006
171,2.206,0.006
172,2.2,0.006
173,2.198,0.006
174,2.193,0.006
175,2.187,0.006
176,2.178,0.006
177,2.172,0.006
178,2.155,0.006
179,2.149,0.006
180,2.143,0.006
