day,chau_z,chau_h
0,0,0
0.2,0.15,0
1,0.239,0
2,0.377,0
3,0.476,0
4,0.532,0
5,0.6,0
5,0.6,0
6,0.62,0
7,0.654,0
8,0.703,0
9,0.706,0
10,0.728,0
11,0.756,0
12,0.764,0
13,0.783,0
14,0.79,0
14.7,0.8,0
15,0.803,0
16,0.853,0.002
17,0.891,0.004
18,0.914,0.006
19,0.948,0.007
20,0.985,0.009
21,1.019,0.011
22,1.054,0.012
23,1.064,0.013
24,1.069,0.014
25,1.08,0.015
26,1.098,0.016
27,1.126,0.017
28,1.139,0.018
29,1.14,0.018
30,1.128,0.018
31,1.121,0.019
32,1.125,0.019
33,1.131,0.02
34,1.138,0.02
35,1.142,0.021
36,1.144,0.021
37,1.157,0.022
38,1.174,0.023
39,1.183,0.024
40,1.215,0.025
41,1.253,0.027
42,1.296,0.029
43,1.34,0.03
44,1.38,0.032
45,1.415,0.033
46,1.449,0.035
47,1.482,0.036
48,1.504,0.037
49,1.514,0.038
50,1.534,0.039
51,1.547,0.039
52,1.551,0.04
53,1.56,0.04
54,1.587,0.041
55,1.597,0.042
56,1.595,0.042
57,1.574,0.042
58,1.546,0.041
59,1.558,0.042
60,1.57,0.043
61,1.569,0.043
62,1.561,0.043
63,1.549,0.043
64,1.569,0.044
65,1.575,0.044
66,1.566,0.044
67,1.581,0.045
68,1.595,0.046
69,1.601,0.046
70,1.621,0.047
71,1.651,0.048
72,1.672,0.049
73,1.703,0.05
74,1.734,0.051
75,1.758,0.052
76,1.775,0.053
77,1.785,0.053
78,1.78,0.053
79,1.773,0.054
80,1.779,0.054
81,1.786,0.054
82,1.81,0.055
83,1.836,0.056
84,1.852,0.057
85,1.867,0.058
86,1.88,0.058
87,1.887,0.059
88,1.905,0.059
89,1.916,0.06
90,1.914,0.06
91,1.899,0.06
92,1.887,0.06
93,1.877,0.059
94,1.866,0.059
95,1.862,0.059
96,1.862,0.06
97,1.868,0.06
98,1.867,0.06
99,1.883,0.061
100,1.893,0.061
101,1.9,0.062
102,1.903,0.062
103,1.917,0.063
104,1.928,0.063
105,1.942,0.064
106,1.955,0.064
107,1.968,0.065
108,1.982,0.065
109,1.991,0.066
110,1.991,0.066
111,1.989,0.066
112,1.981,0.066
113,1.97,0.066
114,1.969,0.066
115,1.972,0.066
116,1.973,0.066
117,1.97,0.066
118,1.963,0.066
119,1.958,0.066
120,1.952,0.066
121,1.944,0.066
122,1.944,0.066
123,1.946,0.067
124,1.935,0.067
125,1.929,0.067
126,1.941,0.067
127,1.947,0.067
128,1.95,0.068
129,1.951,0.068
130,1.95,0.068
131,1.942,0.068
132,1.939,0.068
133,1.941,0.068
134,1.943,0.068
135,1.942,0.068
136,1.941,0.068
137,1.94,0.069
138,1.938,0.069
139,1.936,0.069
140,1.934,0.069
141,1.931,0.069
142,1.928,0.069
